actuary_45_acc_1	㈜한국은 20x1년 초에 상품을 판매하기로 고객과 계약을 체결하였다. 상품에 대한 통제는 3년 경과 후에 고객에게 이전되며, 수행의무는 한 시점에 이행된다. 계약에 따르면 ㈜한국은 20x1년 초에 ₩1,000을 수령하고 20x3년 말에 재화를 이전한다. 해당 거래에 적용되는 내재이자율은 연 5%이다. ㈜한국이 20x3년에 이전할 상품의 원가가 ₩500인 경우, 동 거래가 20x3년 당기순이익에 미치는 영향은 얼마인가? 단, 계산금액은 소수점 첫째자리에서 반올림하며, 단수차이로 인해 오차가 있으면 가장 근사치를 선택한다.
actuary_45_acc_2	㈜한국은 20x1년 12월 15일에 사업을 개시하면서 2개월 내에 반품가능 조건으로 100개의 상품을 현금판매하였다. 개당 판매가격은 ₩500이며, 개당 원가는 ₩400이다. 반품률은 15%로 예상되며, 반품재고와 관련되어 회수원가와 손상차손으로 각각 ₩200과 ₩300이 예상된다. 20x1년 말까지 추가 판매와 반품된 상품이 없을 경우, 20x1년 말 재무상태표에 표시될 반환재고회수권은 얼마인가? 단, 반품관련 예상원가는 별도 비용으로 인식한다.
actuary_45_acc_3	㈜한국은 상품을 ₩6,000에 고객에게 판매하고 고객으로부터 경비용역을 2개월간 제공받는 계약을 20x1년 9월 1일에 체결하였다. ㈜한국은 경비용역의 대가로 ₩4,000을 지급하기로 했으며, 경비용역의 공정가치는 ₩2,000이다. ㈜한국은 20x1년 10월 1일 제품을 인도하고 ₩6,000을 수령하였고, 고객으로부터 20x1년 10월 1일부터 11월 30일까지 경비용역을 제공받고 ₩4,000을 지급하였다. ㈜한국이 상품 판매와 관련하여 인식할 수익은 얼마인가?
actuary_45_acc_4	㈜한국의 20x1년 초 매출채권 잔액(총액)은 ₩1,000이고, 대손충당금(손실충당금) 대변잔액은 ₩50이다. 다음은 매출채권 및 대손과 관련된 자료이다. 20x1년에 인식할 대손상각비(손상차손)는 얼마인가?\n\n- 20x1년 4월 1일: 전기 대손처리된 ₩16을 회수하였다.\n- 20x1년 8월 1일: 매출채권 ₩60이 회수불능으로 대손확정되었다.\n- 20x1년 중 외상매출액은 ₩5,000이며, 현금회수액은 ₩4,640이다.\n- 20x1년 12월 31일: 예상 미래현금흐름을 분석해 매출채권 잔액(총액)의 5%를 회수불확실한 것으로 추정하였다.
actuary_45_acc_5	다음은 20x1년 결산시 ㈜한국이 보유한 자산 내역이다. 20x1년 말 현금및현금성자산은 얼마인가?\n\n|  |  |  |  |\n|---|---|---|---|\n| 당좌예금 | ₩2,000 | 우편환증서 | ₩1,000 |\n| 당좌개설보증금 | 1,000 | 타인발행약속어음 | 2,000 |\n| 배당금지급통지표 | 2,000 | 선일자수표 | 1,000 |\n| 정기예금 (만기:20x2년9월) | 2,000 | 지점 전도금 | 2,000 |
actuary_45_acc_6	㈜한국은 20x1년 4월 1일 액면 ₩100,000의 어음을 연 12%의 이자율로 할인받았다. 어음의 발행일은 20x1년 3월 1일이며, 어음의 표시이자율은 연 9%이다. 이자지급일은 만기일인 20x1년 8월 31일이다. 이 거래가 금융자산 제거요건을 충족하는 경우 어음할인일에 ㈜한국이 인식할 매출채권처분손실은 얼마인가? 단, 이자는 월할 계산한다.
actuary_45_acc_7	다음 중 퇴직급여 회계처리에 대한 설명으로 옳지 않은 것은?
actuary_45_acc_8	다음 중 금융자산의 양도자가 소유에 따른 위험과 보상의 대부분을 이전하는 경우에 해당하는 것은?
actuary_45_acc_9	㈜한국은 다른 회사가 발행한 사채를 20x1년 1월 1일 공정가치로 취득하고 상각후원가 측정(AC) 금융자산으로 분류하였다. 취득한 사채에 대한 정보가 다음과 같을 때 ㈜한국이 20x1년 인식할 손상차손은 얼마인가? 단, 계산금액은 소수점 첫째자리에서 반올림하며, 단수차이로 인해 오차가 있으면 가장 근사치를 선택한다.\n\n- 사채 발행일은 20x1년 1월 1일이며, 액면금액은 ₩100,000이다.\n- 사채 표시이자율은 연 10%이며 매년 12월 31일에 이자를 지급한다.\n- 만기일은 20x3년 12월 31일이며 액면금액을 만기에 일시 상환한다.\n- 사채 발행시점의 유효이자율은 12%이며, 20x1년 말 현재 유효이자율은 14%이다.\n- ㈜한국은 20x1년 12월 31일 이자를 정상적으로 수령하였다.\n- 20x1년 말 사채 발행회사의 신용이 손상되어 ㈜한국은 20x2년 1월 1일 이후 이자를 수령하지 못하고 만기에 액면금액만 수령할 것으로 추정된다.\n\n| 기간 | 12% 단일금액 | 14% 단일금액 | 12% 정상연금 | 14% 정상연금 |\n|---|---|---|---|---|\n| 1년 | 0.8928 | 0.8772 | 0.8928 | 0.8772 |\n| 2년 | 0.7972 | 0.7695 | 1.6900 | 1.6467 |\n| 3년 | 0.7118 | 0.6750 | 2.4018 | 2.3217 |
actuary_45_acc_10	㈜한국은 20x1년 1월 1일 ㈜대한의 주식 10주를 ₩100,000에 취득하고, 당기손익-공정가치 측정(FVPL) 금융자산으로 분류하였다. 해당 주식 관련 자료는 다음과 같다. 주식 관련 거래가 ㈜한국의 20x1년 당기순이익에 미치는 영향은 얼마인가?\n\n- ㈜대한은 20x1년 3월 20일 주당 ₩500의 현금배당을 결의하였고, 3월 31일에 지급하였다.\n- ㈜한국은 20x1년 6월 1일 ㈜대한 주식 5주를 주당 ₩9,000에 처분하였다.\n- 20x1년 말 ㈜대한 주식의 1주당 주가는 ₩13,200이다.
