actuary_47_econ_1	두 재화 $X, Y$만을 소비하는 갑은 주어진 소득을 모두 사용하여 $X$재와 $Y$재 조합 $(X, Y)=(4,3)$을 소비할 수도 있고, $(X, Y)=(1,9)$를 소비할 수도 있다. 갑의 예산선으로 옳은 것은?	$X + Y = 7$ ||| $X + Y = 10$ ||| $\frac{1}{2}X + Y = 5$ ||| $2X + Y = 11$
actuary_47_econ_2	노동시장에서 임금이 균형임금보다 높게 유지되는 요인으로 옳지 않은 것은?	후방굴절 노동공급곡선 ||| 최저임금제 ||| 시장지배력이 있는 노동조합 ||| 효율임금 (efficiency wages)
actuary_47_econ_3	10명으로 이루어진 마을에서 공공재인 $X$재에 대한 개인 $i$의 수요곡선이 $Q_i = 12 - P_i$ $(i=1,2,\dots,10)$으로 서로 동일할 때, 공공재 공급을 위한 비용곡선이 $C(Q) = 10 + Q^2$이면 최적 생산량은? (단, $Q_i$, $P_i$, $Q$는 각각 $i$의 수요량, $i$가 부담하는 가격, 공공재 생산량이다.)	4 ||| 6 ||| 10 ||| 12
actuary_47_econ_4	도덕적 해이에 관한 설명으로 옳지 않은 것은?	본인-대리인 문제는 도덕적 해이의 한 예이다. ||| 중고차 보증제도는 도덕적 해이의 해결 방안이다. ||| 평판과 상표 이미지를 통해 상품시장의 도덕적 해이가 완화될 수 있다. ||| 도덕적 해이를 방지하기 위한 장치를 고안하는 일을 유인설계(incentive design)라고 한다.
actuary_47_econ_5	파레토 효율성을 만족하는 사례로 옳은 것은?	공공재 시장 ||| 독점기업의 제1급 가격차별 ||| 규모에 대한 수익 체증 생산기술에 의한 독점시장 ||| 긍정적 외부효과를 발생시키는 민간기업의 생산활동
actuary_47_econ_6	__FIGURE__
actuary_47_econ_7	재화 $X$의 시장수요곡선은 $Q_d = 20 - 3P$, 시장공급곡선은 $Q_s = 5 + 2P$이다. 정부가 $P = 4$에서 실효성이 있는 가격하한제를 시행할 때, 자중손실(deadweight loss)은? (단, $Q_d$는 수요량, $Q_s$는 공급량, $P$는 가격이다.)	0 ||| $\frac{15}{2}$ ||| $\frac{15}{4}$ ||| $\frac{15}{7}$
actuary_47_econ_8	사과에 대한 수요의 가격탄력성은 2, 공급의 가격탄력성은 0.5로 일정하다. 사과 수요에 대한 소득탄력성이 2로 일정할 때, 소득이 5% 증가한다면 새로운 균형가격은? (단, 수요곡선은 우하향, 공급곡선은 우상향하고, 교차탄력성은 0이다.)	2% 상승 ||| 4% 상승 ||| 5% 상승 ||| 10% 상승
actuary_47_econ_9	두 재화 $X, Y$에 대해 효용을 극대화하는 갑의 효용함수는 $U(X, Y) = 5X^2 + 2Y^2$이다. $X$재 가격은 16, $Y$재 가격은 10이며, 갑의 소득이 27일 때, 갑의 선택에 관한 설명으로 옳은 것은?	$X$재만을 선택한다. ||| $Y$재만을 선택한다. ||| $X$재를 $Y$재보다 더 많이 선택한다. ||| $X$재와 $Y$재를 선택하는 수량은 같다.
actuary_47_econ_10	두 재화 $X, Y$에 대해 효용을 극대화하는 갑의 효용함수는 $U(X, Y) = XY$이고, 소득은 $m$이다. $X$재와 $Y$재의 가격이 각각 $P_X$, $P_Y$일 때, $X$재에 대한 갑의 수요함수는?	$\frac{m}{P_X}$ ||| $\frac{m}{2P_X}$ ||| $\frac{m}{P_X + P_Y}$ ||| $\frac{m}{2P_X + P_Y}$
actuary_47_econ_11	두 재화 $X, Y$의 가격이 각각 5, 1일 때, 갑은 두 재화 $X, Y$의 조합 $(X, Y)=(6,3)$을 선택했다. 두 재화 $X, Y$의 새로운 가격 $P_X, P_Y$에서 갑이 두 재화 $X, Y$의 조합 $(X, Y)=(5,7)$을 선택할 때, 갑의 선택이 현시선호의 약공리(the weak axiom of revealed preference)를 만족하는 조건은?	$P_X > 4P_Y$ ||| $P_X < 4P_Y$ ||| $P_X > 5P_Y$ ||| $5P_X = P_Y$
