actuary_46_econ_1	두 재화 $X, Y$만을 소비하는 갑의 소득은 90이고, $X$재의 단위 당 가격은 6이다. 갑이 소득을 모두 사용해 $X$재 9단위와 $Y$재 4단위를 소비할 때, 갑의 예산제약식으로 옳은 것은?	$2X + 3Y = 30$ ||| $6X + 11Y = 90$ ||| $6X + 13Y = 92$ ||| $8X + 9Y = 90$
actuary_46_econ_2	__FIGURE__
actuary_46_econ_3	효용을 극대화하는 갑의 효용함수는 $U(X, Y) = \max\{4X - Y, 4Y - X\}$이다. 이에 대한 설명으로 옳은 것은?	두 재화 $X, Y$는 완전 대체재이다. ||| 갑은 항상 두 재화가 적은 것보다는 많은 것을 선호한다. ||| $Y$재보다 $X$재가 더 많을 때, $X$재 소비의 감소는 갑의 효용을 높인다. ||| $Y$재보다 $X$재가 더 많을 때, $Y$재 소비의 증가는 갑의 효용을 낮춘다.
actuary_46_econ_4	효용을 극대화하는 갑과 을의 효용함수는 각각 $U_\text{갑}(X, Y) = XY$, $U_\text{을}(X, Y) = -\dfrac{1}{(10 + 2XY)}$이다. $X$재의 가격 $P_x$와 $Y$재의 가격 $P_y$는 주어져 있으며, 갑과 을의 소득은 같다. 이에 대한 설명으로 옳은 것은?	갑과 을의 $X$재 수요는 같다. ||| 갑의 $Y$재 수요는 을보다 크다. ||| 갑은 항상 자신의 선택보다 을의 선택을 선호한다. ||| 을은 항상 자신의 선택보다 갑의 선택을 선호한다.
actuary_46_econ_5	두 재화 $X, Y$만을 소비하는 갑의 효용함수는 $U(X, Y) = \min\{X + 2Y, 2X + Y\}$이다. $X$재의 가격이 1일 때, 효용을 극대화하는 갑은 $X$재 10단위와 $Y$재 20단위를 선택하였다. 갑의 소득은?	10 ||| 20 ||| 30 ||| 40
actuary_46_econ_6	__FIGURE__
actuary_46_econ_7	갑, 을, 병은 $X$재의 소비자이며 갑, 을, 병의 수요함수는 각각 $Q_\text{갑} = 440 - 11P$, $Q_\text{을} = 120 - 3P$, $Q_\text{병} = 360 - 9P$이다. $X$재의 시장 수요가 갑, 을, 병의 수요만으로 구성될 때, 시장 수요의 가격탄력성이 (절댓값으로) 1인 경우에 시장가격은? (단, $P$는 $X$재의 가격이다.)	15 ||| 20 ||| 25 ||| 30
actuary_46_econ_8	(  )안에 들어갈 내용으로 옳은 것은?\n\n재화 $X$의 시장 공급곡선은 선형으로 수평이며, 시장수요 곡선은 우하향한다. 현재 정부는 $X$재 단위당 $t > 0$의 세금을 부과하고, $X$재 이외에는 세금을 부과하지 않고 있다. $X$재 단위당 세금을 $2t$로 인상한다면, 자중손실(deadweight loss)은 (    )	이전과 같다. ||| 이전에 비해 2배 증가한다. ||| 이전에 비해 2배보다 더 감소한다. ||| 이전에 비해 2배보다 더 증가한다.
actuary_46_econ_9	생산요소 $L, K$를 이용한 기업 A의 생산함수는 $Q_A(L, K) = L + 2K$이다. 비용 극소화를 추구하는 기업 A의 비용함수는? (단, $w, r$은 $L, K$의 가격이다.)	$\min\left\{w, \dfrac{r}{2}\right\} Q_A$ ||| $\min\left\{\dfrac{w}{2}, r\right\} Q_A$ ||| $\left(w + \dfrac{r}{2}\right) Q_A$ ||| $\left(\dfrac{w}{2} + r\right) Q_A$
actuary_46_econ_10	기업 A의 생산함수는 $Q(L, K) = L^{0.5} K^{0.5}$이고, 생산요소 $L, K$의 가격이 각각 3, 6일 때, 이윤을 극대화하기 위한 생산요소 $L, K$의 투입비율로 옳은 것은?	$L = \dfrac{1}{2}K$ ||| $L = 2K$ ||| $L = \dfrac{1}{4}K$ ||| $L = 4K$
actuary_46_econ_11	완전경쟁시장에서 기업 A의 단기비용함수는 $C(Q) = Q^3 - 8Q^2 + 64Q + 50$이다. 단기에서 이윤을 극대화하는 기업 A의 생산량이 양(+)이 되는 시장가격은 얼마보다 커야 하는가? (단, $Q$는 생산량이다.)	32 ||| 48 ||| 64 ||| 96
